token,freq,status
good,24888,keep
product,23072,keep
the,17651,keep
is,14518,english
and,14480,keep
quality,11021,keep
it,10810,keep
very,10655,keep
to,8109,keep
but,7344,english
this,7312,keep
seller,6934,english
thanks,6856,english
for,6742,keep
valo,6552,mapped
daraz,6479,keep
in,6452,keep
was,6397,english
not,5657,keep
nice,5474,keep
price,5274,mapped
as,4912,keep
delivery,4897,keep
you,4570,keep
of,4327,keep
with,4255,keep
so,3838,english
ta,3591,mapped
satisfied,3429,english
recommended,3377,english
my,3207,keep
thank,3097,english
time,2961,keep
same,2892,keep
best,2725,keep
on,2481,keep
it's,2444,english
received,2414,english
also,2294,english
order,2192,english
really,2160,english
products,2153,keep
from,2089,keep
original,2087,keep
are,2076,english
onek,2060,mapped
packaging,2052,keep
great,2000,keep
one,1996,keep
service,1936,english
fast,1908,keep
na,1856,mapped
got,1850,unreviewed
recommend,1832,english
like,1832,english
all,1827,keep
onk,1789,mapped
its,1783,keep
much,1780,english
me,1763,english
am,1752,english
khub,1735,mapped
have,1727,keep
buy,1721,keep
use,1714,keep
picture,1713,english
alhamdulillah,1683,mapped
excellent,1674,keep
watch,1671,keep
just,1628,keep
that,1603,english
well,1592,keep
bad,1585,english
they,1540,english
er,1528,mapped
size,1498,keep
paren,1497,mapped
at,1404,keep
happy,1400,keep
sound,1398,keep
highly,1395,keep
can,1371,keep
chilo,1356,mapped
amazing,1354,english
working,1333,english
nite,1328,mapped
will,1312,keep
awesome,1311,keep
be,1300,english
vlo,1248,mapped
love,1230,keep
too,1229,english
perfect,1206,mapped
delivered,1167,english
after,1149,keep
overall,1125,english
ok,1121,english
ordered,1101,english
no,1058,keep
experience,1027,keep
or,1018,keep
pickaboo,1010,keep
days,992,keep
authentic,961,english
fresh,957,keep
money,948,keep
shown,945,english
hai,944,unreviewed
sundor,924,mapped
packing,923,english
more,904,english
thik,892,mapped
than,877,english
beautiful,872,keep
kore,867,mapped
i'm,858,english
condition,852,keep
ami,850,mapped
only,824,keep
if,795,keep
ar,792,mapped
fine,785,english
low,778,keep
color,731,mapped
small,727,keep
review,718,english
using,691,english
colour,686,mapped
better,680,keep
item,676,english
get,674,keep
any,668,keep
poor,660,english
everything,656,english
first,655,keep
valoi,655,mapped
nai,653,mapped
within,647,english
purchase,643,english
ha,638,mapped
light,635,mapped
dam,635,mapped
again,629,english
has,628,english
by,627,keep
works,613,english
box,612,keep
kom,608,mapped
looks,606,english
he,600,keep
jonno,599,mapped
your,594,keep
bag,590,keep
battery,586,keep
tv,585,keep
tnx,584,mapped
gift,580,keep
work,579,keep
akta,578,mapped
used,577,english
what,561,english
ki,561,mapped
bit,558,keep
up,555,keep
don't,555,english
packed,553,english
should,547,english
there,544,english
which,540,english
loved,532,english
reasonable,530,english
cilo,525,mapped
now,525,english
little,523,english
free,521,keep
range,518,english
sobai,512,mapped
sob,511,mapped
these,509,english
day,508,keep
din,507,mapped
them,505,english
pic,505,keep
man,504,keep
card,503,keep
totally,503,english
fully,501,english
peyechi,500,mapped
super,496,keep
achi,496,mapped
tk,494,mapped
an,492,english
expected,492,english
long,491,keep
would,486,english
bought,478,english
high,475,keep
such,475,english
comfortable,470,keep
enough,469,english
silo,467,mapped
even,462,english
about,459,english
warranty,456,keep
value,455,keep
always,453,english
genuine,450,english
other,449,keep
when,447,english
were,447,english
parcel,445,mapped
problem,439,mapped
charge,439,keep
cute,439,mapped
ase,438,mapped
theke,435,mapped
amar,435,mapped
ache,434,mapped
useful,433,keep
date,432,keep
give,431,english
apnara,430,mapped
disappointed,430,english
ekta,427,mapped
average,423,english
their,419,english
had,417,english
shoes,405,keep
send,404,english
quick,404,keep
tai,402,mapped
some,402,english
cheap,402,english
okay,401,english
see,397,english
ei,395,mapped
por,395,mapped
then,390,english
lot,389,unreviewed
jemon,388,mapped
wow,383,english
without,381,keep
thing,381,english
bhalo,381,mapped
worth,381,english
return,379,english
kono,373,mapped
before,373,english
think,373,english
been,368,english
looking,365,keep
phone,364,keep
late,364,mapped
shop,364,keep
how,364,english
market,361,english
ni,361,mapped
kintu,357,mapped
out,357,english
pretty,353,unreviewed
hi,353,keep
because,350,english
broken,345,english
temon,342,mapped
amr,341,mapped
look,341,keep
black,336,keep
want,335,english
material,333,keep
seems,333,english
sent,330,english
do,329,english
didn't,329,english
ai,329,unreviewed
according,327,english
far,325,english
please,323,english
soft,323,mapped
hope,320,english
came,320,english
bht,320,mapped
hain,319,unreviewed
hoy,318,mapped
