Rating,Review,Product Name,Product Category,Emotion,Data Source,Sentiment
5.0,"অসাধারণ ফোন।অনেক পছন্দ হয়েছে।একদম অথেনটিক শাওমি ফোন খুব সুন্দর ভাবে প্যাকেট করা ছিল।48 ঘণ্টায় ডেলিভারি পেয়েছি।রাইডার ভাই অনেক ভালো ছিল তার ব্যবহারে আমি মুগ্ধ।
একটা খারাপ লাগা দিক হলো মোবাইলের সাথে কোনো কভার বা গ্লাস প্রটেক্টর দেয় নাই শাওমি।এছাড়া সব কিছু ভালো ১০/১০ পণ্য। ❤️❤️❤️❤️",Redmi 12C (4/128GB),Smart Phones,Happy,Daraz,Positive
5.0,"Phone is good according to my uses, Upgraded from Realme C11 2020, Except camera it's a good bump. 
Got a faster delivery within 12 hrs.",Redmi 12C (4/128GB),Smart Phones,Happy,Daraz,Positive
5.0,অল্প দামে দারুন একটা স্মার্টফোন 💙,Redmi 12C (4/128GB),Smart Phones,Love,Daraz,Positive
5.0,"Super Fast Delivery ,11200 TK te pailam",Redmi 12C (4/128GB),Smart Phones,Happy,Daraz,Positive
5.0,Delay Delivery... Good Product.,Redmi 12C (4/128GB),Smart Phones,Happy,Daraz,Positive
5.0,Delay Delivery... Good Product.,Redmi 12C (4/128GB),Smart Phones,Love,Daraz,Positive
1.0,Poor seller response,Redmi 12C (4/128GB),Smart Phones,Sadness,Daraz,Negative
5.0,authentic product,Redmi 12C (4/128GB),Smart Phones,Sadness,Daraz,Negative
5.0,"Bought this phone from Mi official store of Daraz. Costed less than the market price.
The delivery time was less than 24 hours.",Redmi 12C (4/128GB),Smart Phones,Happy,Daraz,Positive
3.0,ডেলিভারী বা প্রডাক্ট নিয়ে কোন কথা নেই বেশ ভালো কিন্তু 5G ফোন লেখা দেখে কিনলাম কোথাও এরকম কিছু পেলাম না‍। আসলে কি 5G ????,Redmi 12C (4/128GB),Smart Phones,Sadness,Daraz,Negative
4.0,I do not receive any warranty card with this Phone??,Redmi 12C (4/128GB),Smart Phones,Sadness,Daraz,Negative
2.0,এখনো ভালো আছে ভবিষ্যতে কি হবে সেটা দেখার বিষয়,Redmi 12C (4/128GB),Smart Phones,Fear,Daraz,Negative
5.0,"bought it for my mother..

so far so good.",Redmi 12C (4/128GB),Smart Phones,Love,Daraz,Positive
5.0,"bought it for my mother..

so far so good.",Redmi 12C (4/128GB),Smart Phones,Fear,Daraz,Negative
5.0,good product for me thanks seller,Redmi 12C (4/128GB),Smart Phones,Love,Daraz,Positive
5.0,Fast delivery and good product.,Redmi 12C (4/128GB),Smart Phones,Love,Daraz,Positive
5.0,good quality product,Redmi 12C (4/128GB),Smart Phones,Love,Daraz,Positive
5.0,"অসাধারণ,,,!!",Redmi 12C (4/128GB),Smart Phones,Love,Daraz,Positive
4.0,good rider,Redmi 12C (4/128GB),Smart Phones,Happy,Daraz,Positive
5.0,"Wow...  What The Phone..... 100% Genuine Product & official phone... Thanks Daraz and MI
... Delivery Is so Fast..... Xiaomi Is The Best Phone In Bangladesh....",Redmi 12(4/128GB),Smart Phones,Love,Daraz,Positive
5.0,"Got it within one day, working good.",Redmi 12(4/128GB),Smart Phones,Happy,Daraz,Positive
4.0,When I received the product did not get any invoice with it. After contacting daraz they provide me an e-invoice. Besides the bettary backup is not well performed as expected.,Redmi 12(4/128GB),Smart Phones,Sadness,Daraz,Negative
5.0,"Phone is good according to my uses, Upgraded from Redmi Note 7s, 
Got a faster delivery within 12 hrs.",Redmi 12(4/128GB),Smart Phones,Happy,Daraz,Positive
5.0,"Authentic and genuine product. 
এই বাজেট এ খুবই ভালো ফোন। 
Recommended!",Redmi 12(4/128GB),Smart Phones,Love,Daraz,Positive
5.0,"intact,original product",Redmi 12(4/128GB),Smart Phones,Love,Daraz,Positive
5.0,Darun phone,Redmi 12(4/128GB),Smart Phones,Love,Daraz,Positive
5.0,ink discount a pailam,Redmi 12(4/128GB),Smart Phones,Happy,Daraz,Positive
5.0,"Reviewed by Mr. Shanto Das😎
অনেকদিন ধরে ফোন কিনবো বলে ভাবছিলাম কিন্তু পরীক্ষার কারণে কেনা হচ্ছিলো না। দারাজে স্টকে ছিলোনা মডেলটা দীর্ঘদিন, অবশেষে ১০ই জুন দেখলাম শপে এড হইছে কিন্তু স্টক নেই। উইশলিষ্ট করে রাখলাম😉 ১২ ই জুন বিকালে কি মনে করে ঢুকে দেখি মাল স্টকে,পছন্দসই রং ব্লাকও আছে আর দাম ১৮,৪৭৪/- টাকা😱 ঈদ ভাউচার আর কয়েন এড করে ১৭,৭৮৫/- টাকায় ক্যাশ অন ডেলিভারিতে অর্ডার করলাম তখনই। বেশ ভালো ডিল🧡 ১ ঘন্টা পর ঢুকে দেখি স্টক নেই আর😂 পরেরদিন দেখলাম ১৯,৫৬২৳ তে স্টক আসছে🤣 আমি আগের দিন অর্ডার করায় ২২১৫৳ কম পড়ছে অফিশিয়াল প্রাইস থেকে। তবে ১৩ তারিখ প্যাকেজিং করে ১৩,১৪,১৫ তারিখ ৩দিন ওয়ারহাউজে ফেলে রাখছিলো দারাজ। আর ১ দিন ফেলে রাখলেই অর্ডারটা ক্যান্সেল হয়ে যেতো😡 লাইভচ্যাট,ইমেইল,হেল্পলাইনে কথা বলে অনেক কাঠখোট্টা পোড়ানোর পর ১৬ই জুন রেডেক্সের কাছে হস্তান্তর করে শিপিং করছে😤 ১৮ তারিখ সকালে পটুয়াখালী সদর হাবে আসে পার্সেল এবং দুপুর ১২ টায় আমার উপজেলায় এসে দিয়ে যায় যদিও হোম ডেলিভারি দেয়নি, নিয়ে আসতে হয়েছে গিয়ে😤
সর্বোপরি, রেটিং 👇
☢️ দারাজঃ- ৮/১০ (for delay) 
♈ রেডেক্স কুরিয়ারঃ- ৭/১০
💸 মূল্যঃ- ১৭,৭৮৫৳",realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,"১০০% অথেনটিক এবং অফিসিয়াল প্রোডাক্ট।
এই বাজেটে খুব ভালো একটি ফোন।
ক্যামেরা ভালো দাম অনুযায়ী।
ব্যাটারী ব্যাকআপ খুব ভালো।
ফোনের ডিজাইন ও খারাপ না।
সব দিক বিবেচনায় খুব ভালো একটি ফোন এই দামে।
ধন্যবাদ Realme Bd কে এবং Daraz Bd কে।",realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,"I gift my wife ,She is happy and exited,
Authentic and best budgeting phone of this price range💟",realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,"varryGood  product...❤️
100/100%  Original product. ❤️
Thankss DarazMoll .. Thankss Realme.❤️💝",realme C55 - (6GB/128GB),Smart Phones,Love,Daraz,Positive
5.0,best price  is daraz sara emn price  kew dite pare na thanks daraz & realme k keep it up........ company daraz &  realme ❤️❤️❤️❤️❤️❤️❤️❤️,realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,daraz sara emn price  kew dite pare na thanks daraz & realme k keep it up........ company daraz &  realme ❤️❤️❤️❤️❤️❤️❤️❤️,realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,অনেক সুন্দর ফোন। ধন্যবাদ দারাজ যথাসময়ে ডেলিভারি দেওয়ার জন্য।,realme C55 - (6GB/128GB),Smart Phones,Love,Daraz,Positive
5.0,great device thanks for realme and daraz great service,realme C55 - (6GB/128GB),Smart Phones,Love,Daraz,Positive
5.0,অনেক ভালো ফোন খুব তারাতাড়ি ডেলিভারি পেয়েছি ধন্যবাদ সেলার কে ধন্যবাদ দারাজ,realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,realme c55 hate paye ank happy thanks daraz & realme k over all good,realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,"অর্ডার করলাম Rainy Night 
পেলাম। Sunshower এইটা কেমন ব্যবহার ভাই",realme C55 - (6GB/128GB),Smart Phones,Anger,Daraz,Negative
5.0,realme c55 hate paye ank happy thanks daraz & realme k,realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,অনেক পছন্দ হয়েছে,realme C55 - (6GB/128GB),Smart Phones,Love,Daraz,Positive
5.0,Thank you daraz for your fast delivary 🫰,realme C55 - (6GB/128GB),Smart Phones,Love,Daraz,Positive
5.0,valo..nite paren sobai...🤗,realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,১ দিনেই ডেলিভারি পেয়েছি,realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,very good suggested,realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,good you can take,realme C55 - (6GB/128GB),Smart Phones,Love,Daraz,Positive
5.0,thanks to daraz,realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,"18521 Tk dia kinlam daraz thake. orginal product pici. chila apnara nita paran, asa kori Thokban na.
Ei  Price range a best phone.",realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,I'm happy,realme C55 - (6GB/128GB),Smart Phones,Happy,Daraz,Positive
5.0,আসসালামু আলাইকুম ওয়া রাহমাতুল্লাহ আলহামদুলিল্লাহ আমার সেটটি অনেক সুন্দর হয়েছে যেমন চেয়েছি তেমন পেয়েছি কোথায় গাজা ঠিক আছে চাইলে আপনারও নিতে পারেন দারাজ রাইডার কে পক্ষ থেকে ধন্যবাদ,realme C55 - (6GB/128GB),Smart Phones,Love,Daraz,Positive
5.0,"packaging is superb!
got authentic products.

but I didn't get invoice with the parcel. can you pls send it for me?
thanks",realme C55 - (6GB/128GB),Smart Phones,Love,Daraz,Positive
2.0,"I was optimistic about the 6/128gb performance, but it was not up to the mark. Lag on touch. Totally frustrated.",realme C55 - (6GB/128GB),Smart Phones,Sadness,Daraz,Negative
